Gene	CRH9EOS_d0	CRH9EOS_d1	CRH9EOS_d2	CRH9EOS_d3	CRH9EOS_d7	CRH9EOS_d10	CRH9EOS_d20+E	CRH9EOS_d20+X	ctrl	HNES1_d0	HNES1_d1	HNES1_d2	HNES1_d3	HNES1_d7	HNES1_d10	HNES1_d20+E	HNES1_d20+X
STPG1	0.619147471	0.525960436	0.561367433	0.641824936	0.847145776	0.843292436	1.089441485	0.852039109	1.315590189	0.854917252	1.04043953	1.324151888	1.317930505	1.112641466	1.198111705	1.079105226	1.020313229
NIPAL3	1.820957207	1.330507295	1.35973072	1.483811412	1.286524458	1.275069734	1.439447879	1.199808622	1.617546675	1.141129098	1.618761562	2.198314218	2.44278835	1.232149	1.304757531	1.519254254	1.099928972
LAS1L	4.868543853	4.92517119	4.930527772	4.97087846	4.557772769	4.564463383	4.752139445	5.192359541	4.140837741	4.385081919	4.359199748	4.145366601	4.129932038	4.39237344	4.284958781	4.189667287	4.350894193
ENPP4	0.358485544	0.188934134	0.539764834	0.605751928	0.823567066	1.135093088	1.388013163	1.245126303	1.554691672	0.341780296	0.516330933	0.932745406	1.125502722	0.933976418	1.118785041	1.555703574	1.403673097
SEMA3F	1.447627178	1.430741868	1.843107667	2.435116125	2.986054477	3.348321681	3.823262038	3.46577482	3.747219745	1.515460971	1.933997228	2.203745405	2.740025608	2.616809068	3.09869684	3.787718439	3.566514352
CFTR	0.009808224	0.012765233	0.017880434	0.048662235	0.066668613	0.082279501	0.281192577	0.134582412	0.196523836	0	0.021975099	0.027738972	0.010664658	0.06066655	0.127247129	0.231020615	0.301998301
ANKIB1	3.108598632	3.208508143	3.430360596	3.487683787	3.664567142	3.618255166	3.721675066	3.57453723	3.432704678	3.501327006	3.481155485	3.659491614	3.69534516	3.795219777	3.917411988	3.807751699	3.773258836
CYP51A1	1.890689209	2.239240069	2.23646896	2.422200664	2.734037975	2.841529775	2.319600988	2.978104654	2.713499453	2.237459933	2.587486539	2.218982402	2.155837405	2.587961406	2.676423226	2.363999163	3.088364005
KRIT1	3.029779784	3.023861284	3.167924038	3.088449821	3.174819686	3.172504958	3.025789395	3.038250898	2.84604123	3.400068649	3.35037013	3.284238871	3.218034938	3.165699317	3.11112684	2.93731598	3.11279161
RAD52	2.260251239	2.309698744	2.427650237	2.327462937	2.162192923	2.028535751	2.213765659	2.228274028	2.391708763	3.286630259	3.455895749	3.384478707	3.335500036	3.081380313	3.27298246	3.290652647	3.522357148
BAD	3.045274663	2.952096964	3.064184143	2.931951007	2.715890346	2.578115006	2.762791693	2.773995911	2.903703147	3.013756278	2.743367074	2.582921108	2.30492	2.732439265	2.899144773	2.796585875	2.784684878
LAP3	4.112723499	4.297435907	4.185187965	4.18304176	3.982396872	3.961339632	3.684719875	4.092897123	3.588934906	4.059491956	4.328974044	4.420927266	4.495436758	3.877948319	3.840537561	3.737750457	3.851756285
CD99	0.611152501	0.661112939	0.69588431	0.807450502	2.626752178	1.997907926	2.98034214	2.138874838	3.516756644	0.674827607	0.348436985	0.558951757	0.65724119	2.778833341	3.201948591	2.23666477	1.55090604
HS3ST1	0.143398965	0.110687046	0.117251991	0.138163868	0.253787768	0.207925977	0.524237743	0.208720434	0.731279354	0.040974835	0.039574782	0.07960616	0.106039444	0.248530565	0.463689208	0.866452808	0.396043005
AOC1	0	0.009900078	0.021165181	0.029671946	0.068609532	0.049660355	0.120806159	0.040910187	0.023514466	0.118599971	0.061158763	0.048493884	0.068490792	0.029707034	0.081376255	0.078691433	0.158539617
WNT16	0.394820698	0.324116967	0.282556823	0.217266921	0.34835987	0.255148834	0.065446141	0.139569613	0.165498747	0.361443836	0.083328574	0.066513571	0.20531124	0.287520961	0.278033578	0.439943655	0.278337086
HECW1	0.023977239	0.047326119	0.074629729	0.280209608	1.379711103	1.138000996	1.183417286	0.675077977	0.98008339	0.041245501	0.043275415	0.137727152	0.178957829	1.511041289	1.952725749	1.5113675	1.340700318
MAD1L1	3.197064178	3.484775313	3.289648987	3.323385222	3.177447825	3.100818663	2.927923041	3.163269327	2.830629608	3.636338349	3.610303471	3.535237757	3.237236529	3.327341301	3.345562846	2.921449302	3.147226245
LASP1	6.490572913	6.335804944	6.274635527	6.351406924	6.132425271	5.796420563	5.483751479	5.506566798	5.237117364	6.20735111	5.844923733	5.703560195	5.728006009	6.187301726	5.873292372	5.32352417	5.480740468
SNX11	2.603106863	2.534879106	2.552106391	2.565962242	2.474756801	2.606852563	2.502433752	2.572394591	2.310342536	2.543946566	2.441106043	2.565661491	2.527289318	2.500237463	2.51847957	2.327450731	2.511075867
TMEM176A	0.106126117	0.093588453	0.02257467	0.053718286	0.054021683	0.052486005	0.024561051	0.021494616	0.038114119	0.120550688	0.046402507	0.091656099	0.038342389	0.051392516	0.024827619	0.044895582	0.036928339
M6PR	4.795533606	4.911922115	4.909083362	4.924272292	4.81087826	4.795911147	4.428182077	4.941885267	4.381629698	5.259420196	5.427860291	5.391396616	5.341398867	5.466800363	5.547003281	5.427616366	5.829126892
KLHL13	0.234240831	0.161120728	0.151343883	0.254609976	0.372417996	0.537786112	1.718899244	1.50210738	1.414222392	0.263157847	0.15126196	0.20672291	0.265357324	0.351934483	0.540160208	1.11751875	0.854427144
CYP26B1	0.181955136	0.101010352	0.084133804	0.058600991	0.130883241	0.095392527	0.241560217	0.093390985	0.276484095	0.093601922	0.069180767	0.027853187	0.095225627	0.046277102	0.060683106	0.191183883	0.155996973
ICA1	0.564452257	0.603394603	0.618388224	1.009978617	1.848370798	2.36105202	3.242163946	2.638181564	3.137928405	1.180222562	1.524714926	2.039042292	2.229441878	2.270534665	2.717067406	3.469798592	2.820844631
DBNDD1	0.993126961	1.325566901	1.788969228	2.411830076	3.140064949	3.270050715	3.16700079	3.157442888	2.671808039	2.074755308	2.346511494	2.602953969	2.769521317	3.17219369	3.32469426	3.125770696	3.277484722
ALS2	2.854616349	2.85139006	2.819539087	2.84491959	3.032951319	3.159696358	3.556401273	3.367500183	3.51154486	2.768571738	2.908642649	2.984340354	2.941939931	3.019913928	3.394438663	3.597174885	3.529794173
CASP10	2.349421948	2.665544201	2.421159384	2.355684257	1.609534396	1.217763349	0.875299215	1.184987201	0.620704775	2.847262498	2.913798169	2.927000005	2.961797592	2.726587556	1.941636864	0.642040864	0.777637071
CFLAR	2.648691128	2.617820545	2.116857261	1.804990707	1.290889786	1.058787128	0.794212181	0.94211933	0.656367328	2.799288541	2.579989857	2.344387651	1.963515758	1.466494369	1.461073683	0.717763423	1.01439411
TFPI	1.274739325	0.7674086	0.729879476	0.717500042	0.799934613	0.544020596	0.563496262	0.407534647	0.67685016	1.388767431	1.001566577	1.285561375	1.491803038	1.435176447	1.336542896	0.822534112	0.818322151
NDUFAF7	4.799738078	4.530852658	4.451658155	4.196753518	4.232379517	4.09503428	3.833545087	3.87524913	4.577724039	4.643251763	4.35016195	4.274019306	4.139246931	4.19545227	4.076787088	3.738628184	3.930042818
RBM5	3.596903086	3.71314376	3.616782059	3.431626303	3.291583114	3.158969698	3.167876745	3.257132533	3.391113298	3.648151279	3.719193965	3.648818523	3.592217417	3.353107352	3.250196873	3.251091724	3.26074887
MTMR7	0.596344229	0.48643894	0.447639982	0.552633077	1.085533616	1.342608172	1.444202378	1.469847955	1.567426539	0.626135663	0.574149917	0.787192893	0.789931536	1.010005069	1.41220269	1.607299806	1.605569798
SLC7A2	4.26159714	3.524342404	3.043345845	2.745256012	2.967007477	3.12953092	3.373398788	3.002614471	2.907241953	3.46832923	3.063488913	2.790928623	2.659865975	3.20272998	3.319708043	3.875511454	3.532228696
ARF5	5.023745096	5.104132603	5.279647117	5.285733133	5.021402833	5.038284281	5.186209575	5.456323292	5.587011839	5.114310051	5.336643854	5.406942051	5.295396123	5.150014919	5.257472083	5.255355631	5.061569141
SARM1	0.204575018	0.171311522	0.21598561	0.301794406	0.471606346	0.449273635	0.469625883	0.482746094	0.427266272	0.224791243	0.142160426	0.283860019	0.2094049	0.443482842	0.486088522	0.343082822	0.42955061
POLDIP2	5.901177306	6.015556439	5.842575782	5.765420807	5.545058022	5.518396895	5.217238958	5.691433943	5.193540442	6.146393634	6.052833496	5.785014505	5.596731697	5.64001303	5.444870394	5.120659721	5.386206515
PLXND1	4.769380692	4.289637596	3.450627305	2.947603408	2.801398878	1.858651913	2.644071923	1.698550581	2.720064415	4.537555813	3.972326144	3.519783211	3.034206991	3.406839061	2.969326106	2.625723516	1.95489427
AK2	4.129741225	4.076676793	4.044857624	3.891823114	3.776820997	3.855661187	3.978179222	4.020000152	3.824463122	4.12583581	4.028906239	4.010364495	4.057374166	3.4534553	3.576991724	3.615988322	3.749796467
CD38	0.10184238	0.125607185	0.085158225	0.065305545	0.065685313	0.085761176	0.111136376	0.139162139	0.13514201	0.05555051	0.111398115	0.123247821	0.089128579	0.046289	0.060885129	0.139828903	0.12448074
FKBP4	6.520057104	6.577068039	6.796158007	6.615688008	6.334611987	6.444878595	6.339322187	6.487220193	6.007915119	7.117914637	7.032921052	6.99250456	7.116323327	7.184640781	7.044500214	7.16526833	7.312759758
KDM1A	6.129398888	6.279222795	6.364980188	6.454874638	6.438622575	6.515268308	6.669622038	6.71409643	6.645430932	6.078304442	6.197490284	6.152665377	6.161462078	6.189883	6.248338271	6.484072212	6.495926494
RBM6	4.281065299	4.385781751	4.355856346	4.451930561	4.153653592	4.233201315	4.374533978	4.420246487	4.414150209	4.255758474	4.4377858	4.418874916	4.434153708	4.23173428	4.296500929	4.483164896	4.253477522
CAMKK1	1.390059462	1.185215886	1.205045548	1.361601568	1.18254543	1.186362447	1.453858052	1.253810395	1.479115181	1.489194985	1.474204346	1.605671048	1.730461788	1.189378129	1.390966966	1.599130835	1.252267055
RECQL	3.284890012	3.389555315	3.919404691	3.974292939	4.169575643	4.098741673	3.960643844	3.909916252	3.919773043	3.707600626	3.830988842	3.941577929	4.014964251	4.212985339	4.314520381	4.457415225	4.524910817
VPS50	1.663480927	1.43662316	1.460584382	1.281284252	1.484086304	1.408536245	1.454494608	1.449846565	1.36241662	1.853623121	1.743965827	1.724327228	1.720165681	1.538994304	1.665713561	1.337792033	1.68801387
HSPB6	0.156001662	0.203089465	0.169436322	0.14679796	0.150743119	0.187273804	0.098442526	0.199434348	0.268265825	0.322313592	0.077652456	0.228561087	0.11908672	0.128401914	0.225708936	0.133094394	0.295342725
ARHGAP33	1.262552972	1.722880396	2.158044224	2.160048501	1.764530714	2.016813273	1.796109851	2.165346217	1.93954695	1.295071413	1.785209036	2.188597122	2.32428959	1.526969377	1.580548088	1.690231826	1.847569368
NDUFAB1	7.849011576	7.462473368	7.00710833	6.72234214	6.16922509	6.017690874	5.236148109	5.745447712	5.303526797	7.850465797	7.343589282	6.830140044	6.574493219	6.395591403	6.036635174	5.590301587	5.787013477
PDK4	0.009570195	0.016638589	0.017960971	0.008484699	0.026316945	0.025747666	0.048031681	0.06475918	0.038417645	0.031629316	0.010700281	0.018537386	0.039127905	0.060074788	0.12758981	0.140534513	0.065934003
SLC22A16	0.042754132	0.019184749	0.067410658	0.08336157	0.01989319	0.03801428	0.09635223	0	0	0.01243731	0	0.02410388	0.021995276	0.028443112	0.043714435	0.051707195	0.079099467
ZMYND10	0.168967514	0.167734779	0.167582682	0.135820136	0.102727036	0.117077823	0.106497806	0.168076433	0.259666851	0.223305269	0.113084249	0.157516615	0.137489639	0.133222686	0.133059663	0.148972612	0.113324487
ABCB5	0.127102206	0.085642616	0.108004515	0.059834044	0.054412286	0.045003568	0.009522485	0.033068589	0.013791215	0.123693047	0.18789537	0.374142433	0.160520214	0.034815708	0.054058817	0.01696976	0.044289132
ARX	2.685186487	2.209876524	1.084128749	0.403686708	0.103548305	0.106032054	0.042083179	0.100871541	0.027167523	1.305448691	1.138742202	0.282986353	0.240248653	0.123991336	0.104258998	0.013186519	0.014961226
SLC25A13	4.542088473	4.551817773	4.507875981	4.514725122	4.535426237	4.644216284	4.927154275	4.867962107	4.900561208	4.690161144	4.732561838	4.567131282	4.304045504	4.605220941	4.834173504	4.861164109	4.976387763
ST7	0.4991038	1.288905347	1.262047503	1.013596042	0.862216483	1.110071047	1.569511986	1.603861845	1.435141307	0.417734829	1.477789116	1.299139542	1.112619914	0.758202087	0.853922039	1.389803318	1.542045468
CDC27	3.406431783	3.310671717	3.4223247	3.417928658	3.421031388	3.384244013	3.457836692	3.303000771	3.58407776	3.73691986	3.487366451	3.667290388	3.646608051	3.261429487	3.324562893	3.277455822	3.333326302
SLC4A1	0.273050085	0.116046927	0.044033173	0.071070966	0.055157804	0.055198597	0.06472671	0.038102373	0.040506077	0.387929533	0.108259979	0.214561915	0.183275852	0.053436046	0.052956903	0.050541465	0.042246177
CALCR	0.021075601	0	0.038932961	0.036795321	0.184948568	0.257341821	0.488063646	0.149209044	0.584638228	0.07823403	0.032397586	0.04469101	0.097348375	0.201290622	0.519800655	1.306564736	1.010353724
HCCS	5.054511922	4.61498263	4.535943313	4.522679974	4.179307177	3.952239493	3.751738964	4.221705021	2.871413157	4.301896259	3.93023963	3.700257335	3.734846586	3.838018179	3.563188781	2.792825209	3.561620747
DVL2	4.834086726	4.760896352	4.501112317	4.431667798	4.165578549	4.167583896	3.766415637	4.125144588	3.693078946	4.951428641	4.772279619	4.596471045	4.467297879	4.20525827	4.150356421	3.470266272	3.99825918
PRSS22	0.613598029	0.667213454	1.082149965	1.093214893	0.722027463	0.707352069	0.730238527	0.524980137	0.784373504	0.446798277	1.165668725	1.558536594	1.815894137	0.862451206	1.052867322	1.246777738	1.020416345
UPF1	5.092264734	5.13825873	4.849379246	4.699502813	4.4471313	4.3702281	4.360486721	4.367466363	4.45727799	4.849083537	4.814658554	4.621545148	4.611087492	4.484606695	4.482157986	4.870952614	4.425616042
SKAP2	0.611140055	0.426792958	0.427859151	0.44253734	1.007921608	0.824627033	0.884934583	0.830611017	1.16086514	0.524879801	0.40659438	0.409616747	0.556795826	1.054379773	1.240152737	0.90107754	0.727484992
SLC25A5	7.964972648	7.468353678	7.449702026	7.595593137	7.238050515	6.974254993	7.154698245	7.38617885	6.831802354	7.298669675	6.895999352	6.840708272	7.073739587	7.017843601	6.744564447	6.866115212	6.41294056
MCUB	3.442839549	2.292828504	2.255379807	2.235848592	2.563191861	2.614387344	2.354389004	2.491713379	1.787302785	4.11161549	3.244792575	2.926681848	2.610667743	2.542265675	2.72748178	2.725712404	2.955400628
HOXA11	0.050965762	0.047748813	0.015939183	0.016450653	0.015473737	0.032312161	0	0	0	0	0	0	0	0.068607963	0.037167025	0	0
POLR2J	4.614594372	4.599607389	4.61196693	4.681446637	4.387015836	4.444993845	4.451888066	4.684122118	4.363017801	4.588733849	4.597035226	4.427096875	4.394998295	4.429203608	4.419753726	4.37776143	4.367796154
DHX33	3.700076886	4.040664416	4.097928501	4.240692886	4.018245844	3.99607628	3.931766626	3.925980867	3.54729508	3.847118165	3.919766347	3.836862175	3.803694737	4.001125446	3.745369588	3.707252623	3.70819022
MEOX1	0.046220907	0.104736979	0.097154286	0.040957156	0.109130519	0.096423921	0.015380594	0.013747661	0.033086815	0.065237524	0.084848889	0.034420876	0.015985702	0.113018788	0.102285694	0.012624722	0.133579355
THSD7A	0.015346017	0.006970355	0.003641009	0.020973832	0.079453174	0.107980463	0.256987238	0.284249478	0.229126133	0.012932425	0.003879585	0.01288374	0.004261062	0.046247572	0.07198127	0.140474608	0.225883341
LIG3	3.719693746	3.874187645	3.755705161	3.738389367	3.472847875	3.506287641	3.66527587	3.60650736	3.823519647	3.785111211	3.901970576	3.765808711	3.752400922	3.592744537	3.617035035	3.658292931	3.478485238
RPAP3	3.35383775	3.265701166	3.475680447	3.467696079	3.396793161	3.533588603	3.805441867	3.562427309	3.638343255	3.455736798	3.413562251	3.562933271	3.553385827	3.483267483	3.535223059	3.490777659	3.488521581
ACSM3	0.069034932	0.097098583	0.045513313	0.120950362	0.298688706	0.4186835	0.732042135	0.667579328	0.927302336	0.04171549	0.071530098	0.185327744	0.23835935	0.22975234	0.462417342	1.149158342	0.48258303
AC004381.6	1.030179388	1.251024072	1.440983205	1.504042136	1.615681531	1.643757533	1.706555471	1.916623674	1.683766412	1.332227763	1.775917586	1.987048897	1.841692058	1.651735391	1.852063017	1.503089104	1.826032516
CIAPIN1	4.267462583	4.388560587	4.240895531	4.185223003	3.946370742	3.762041618	3.66995605	3.921021106	3.686493003	4.576321854	4.410981631	4.106642407	3.9776233	4.124376197	3.901036748	3.707252315	3.847270659
SPPL2B	2.249845015	2.135390737	1.98029485	2.175910486	2.350533072	2.4371131	2.511982159	2.656556534	2.602281138	2.279316461	2.196411635	2.116098061	2.134510407	2.300376223	2.328842364	2.335962097	2.439022891
FAM214B	2.36491802	2.451998812	2.361766019	2.111440459	1.572400107	1.423571128	1.201201183	1.385295458	1.212455203	2.182038298	2.103597704	2.079020931	1.978504591	1.370700546	1.301388299	1.094031159	1.302383157
COPZ2	0.398081451	0.41225319	0.406995723	0.081206638	0.105304655	0.150014709	0.091114822	0.124441896	0.09367527	0.360194306	0.411789026	0.29689947	0.161706549	0.143235909	0.183773351	0.040210033	0.210708517
PRKAR2B	1.469246746	2.373783523	3.53112497	4.145176871	4.964198207	4.817274463	3.654615137	3.631209272	3.322769424	1.716373916	2.209953632	2.688300568	2.91928276	3.590119458	3.94809304	3.789676696	3.783897948
MSL3	2.587437968	2.7461909	2.825834147	2.534452534	2.13358542	1.913699889	2.144118433	2.216389525	1.605440527	2.193303662	2.217299821	1.910148052	1.839438788	1.871763744	1.655106011	1.544911488	1.646933824
CREBBP	3.053878814	2.85122646	2.824959347	2.852497468	2.788282056	2.741809791	2.858088332	2.893033904	2.783439008	3.087709849	2.850553346	2.805597923	2.850778	2.938022002	2.826376905	2.78244445	2.870093316
TSPOAP1	0.054929974	0.092789801	0.180508775	0.321381323	0.456373575	0.588702675	1.038361374	0.743017618	1.464782025	0.052702129	0.130601919	0.379871891	0.433211051	0.48338438	0.6347879	0.890149067	0.61002837
MPO	0	0.021071191	0.022951161	0.022011723	0.022010372	0.124992911	0.332899964	0.173392365	0.120127518	0.013747661	0.026840411	0.025482393	0.074976033	0.020108044	0.117145657	0.253945305	0.116899261
PON1	0.072946331	0.051067658	0.054974547	0.052084221	0.160339908	0.352558435	0.377102944	0.449499556	0.317968445	0.079471663	0.045980058	0.081737502	0.077532989	0.1308723	0.152752025	0.141025075	0.26801243
GCFC2	1.731732456	1.830863848	1.95083888	2.077225814	2.226594853	2.306984971	2.261332587	2.327314874	2.112597761	2.034725437	2.143725419	2.35680415	2.359923215	2.251813078	2.455087807	2.160970403	2.502000268
WDR54	2.268598106	2.554589832	2.923085645	3.437277413	3.581689718	3.860057266	3.930634367	4.070020451	4.260851588	2.51847364	3.015472093	3.887912865	4.039771182	3.840761137	4.2045589	4.280457445	4.026401311
CROT	0.34256137	0.403999664	0.521778329	0.64422312	0.907432307	0.890799425	0.889323784	0.840163976	0.744773399	0.355200543	0.467076233	0.700622022	0.833352144	0.943816328	1.181861737	1.103892821	0.899192079
ABCB4	0.005498773	0.019944311	0.042318459	0.108152507	0.150716084	0.303945242	0.410000993	0.327410117	0.34803541	0.006543585	0.059264466	0.134197678	0.217893401	0.161095231	0.244120287	0.521957154	0.299125978
KMT2E	2.75413949	2.567836927	2.784281155	2.869359106	3.334438886	3.37832499	3.5456328	3.625649342	3.7659837	2.727383415	2.730140229	3.065140581	3.329906115	3.233633737	3.445313678	3.181800896	3.516610026
RHBDD2	3.308070842	3.171498649	3.144079927	3.097339882	2.823770035	2.919428756	3.206894849	3.400323041	3.384417418	3.121846805	2.893055999	2.803992335	2.461588695	3.132348244	3.104582284	2.825658594	3.082502911
SOX8	1.153770031	1.565486734	2.371851169	2.649716349	2.668397338	2.550771514	2.079500869	1.703176288	2.154515624	1.689564402	2.568898186	2.757886726	2.75148385	2.948459914	2.788705938	2.518396988	1.732643133
IBTK	3.73964414	3.731334185	4.05095298	4.061419635	3.858639883	3.689354447	3.488000584	3.231336323	3.435490399	4.019784185	4.052944117	4.136637576	4.079814716	3.728460416	3.624679122	3.383957675	3.496247108
ZNF195	4.161292816	4.447570672	4.577892441	4.576751034	4.611910931	4.520718575	4.595080964	4.459132148	4.325426154	4.113568618	4.298605343	4.316394275	4.263950753	4.561785881	4.59949109	4.5104267	4.553397358
MYCBP2	2.876658417	2.637946295	2.587749586	2.589902691	2.855912274	2.786846077	2.984347656	2.7544313	2.941549656	3.030618382	2.720939945	2.674076184	2.653631149	2.91939678	2.881035514	3.218350657	2.983744834
FBXL3	1.785582997	1.49989171	1.532649248	1.41404403	1.517609098	1.507993644	1.289197864	1.286538266	1.355124018	1.977166318	1.602849388	1.633493266	1.562856749	1.48758093	1.516802725	1.416067375	1.573097321
ITGAL	0.584291406	0.965045472	1.018967038	0.631593412	0.121072481	0.09720774	0.227088176	0.128552598	0.03352709	0.606800696	1.057396702	0.817781586	0.688233552	0.219049228	0.194476954	0.2857783	0.160033348
PDK2	0.531428938	0.481170888	0.657116369	0.862988181	0.860972596	0.853066928	1.164815127	1.218719497	1.24224426	0.571517768	0.800465152	0.927518713	1.008903491	0.980017742	1.016955784	1.042435829	0.993223512
ITGA3	0.420922146	0.544629264	0.944751131	1.546796525	2.462623332	2.117325095	2.35903066	1.998729933	2.633101179	0.585638846	1.10923473	1.547359733	1.922364323	3.215854513	3.356658097	3.126844736	2.45578314
ZFX	2.969553061	2.774007252	2.656278024	2.604124813	2.646080749	2.592978541	2.563516269	2.661730042	2.777404807	2.402812971	2.037521241	1.920063045	1.86828204	1.984430878	1.883264341	1.998492927	1.932687198
LAMP2	4.137972183	3.842205877	3.894588927	3.61298988	3.551580388	3.368177607	3.844703932	3.9011634	3.539833917	3.635832968	3.584038659	3.667503107	3.616055474	3.316290677	3.43823033	3.477744591	3.241703083
ITGA2B	1.009627589	1.130783848	1.463718381	1.687935245	1.674133052	1.623858692	1.467486006	1.283378198	2.003732346	1.374390976	1.842060109	2.271517286	2.416944424	2.038408949	2.012026433	1.942031097	1.340078225
ASB4	0	0	0	0	0	0	0.027503197	0.017865287	0	0	0	0.010370947	0.019517289	0	0	0.061281374	0
GDE1	4.557086871	4.084360708	3.833805313	3.772660005	3.911969542	3.870629574	4.078938606	3.958445176	4.109174812	4.698943135	4.273649696	4.136457716	4.049324654	3.968522729	4.061190705	4.117190385	4.075924377
C19orf60	3.736669346	3.927234927	3.732499749	3.646207293	3.349102371	3.415536009	3.56177699	3.836666032	3.852317769	3.275768005	3.453528931	3.241434658	3.031781563	2.916121034	3.202047336	3.457052523	3.552130569
CRLF1	1.233559567	1.856899196	3.405183933	4.583085655	4.164200902	4.119551641	3.305688526	3.603457392	2.97092566	1.189502164	1.693356093	2.800271466	3.525505257	3.660878126	3.521711999	3.468096464	3.479636439
OSBPL7	0.410958086	0.575494053	0.791962673	1.088355441	1.091650927	1.164291641	1.320348705	1.335530592	1.766758364	0.558764218	1.106482564	1.206595145	1.430001382	1.071785867	1.366705331	1.541550497	1.187443165
TMEM98	1.009243773	1.858924647	2.448775117	2.773364474	3.062532136	3.301766088	3.302507854	3.439613402	3.151577011	1.242395953	2.313592884	2.638937031	2.694844276	2.875029838	3.114908777	3.112677292	3.443100911
YBX2	2.56714482	2.100242302	2.705302591	2.859831886	2.732680004	3.074604643	3.003319547	3.116524979	2.950833872	2.758662293	2.84778656	3.251665685	3.270818313	3.076074396	3.485842304	2.919070775	3.000115101
KRT33A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032312161	0	0	0
MAP3K14	0.75904834	0.937573142	1.081939223	1.359711273	1.760356039	1.242024561	1.55105157	1.042071624	1.389026107	0.716181722	0.826433269	0.900711256	1.189336086	1.982855886	1.727843228	1.568879532	1.165081647
ABCC8	0.049157776	0.054143716	0.176468154	0.216197064	0.297930717	0.357776027	0.481279647	0.406892198	0.409988394	0.05366425	0.130502898	0.164010048	0.259382956	0.335217507	0.386049565	0.544500866	0.498487248
CACNG3	0	0	0	0	0	0.035210919	0.028709363	0.064550951	0	0	0	0	0	0	0.014214779	0.013186519	0.061044023
TMEM132A	2.91336115	3.069786956	2.990225842	2.850567508	2.73669012	2.793695297	3.149630163	3.263169315	3.140871576	3.07576752	3.042763144	2.919507948	2.738859696	2.748495885	2.876676297	2.893646816	2.775838905
AP2B1	5.788805625	5.410199202	5.428271253	5.452106126	5.277578613	4.981663615	4.697809393	4.716126491	4.718621775	6.159652835	5.763246714	5.935236606	6.01214808	5.407836701	5.000962591	4.698717028	4.726312701
TAC1	0.227586358	0.218115504	0.366459588	0.601934087	1.272794066	1.081261586	1.655991143	1.537829492	1.162862313	0.071029485	0.070921284	0.043248202	0.234557145	0.717863589	0.767270905	0.578241934	1.772952993
ZNF263	4.604069666	4.523544032	4.073434668	4.018500526	3.527946818	3.463321383	3.432997884	3.62148016	3.223168088	4.147467488	3.813395801	3.494246064	3.423920557	3.427543646	3.333629152	3.470409495	3.447069236
CX3CL1	0.00687555	0.125332778	0.635221664	0.951142041	0.542073428	0.302189254	0.321277451	0.253213847	0.497463791	0	0.079122264	0.169668335	0.410545431	0.543559613	0.431100113	0.191343786	0.359511346
SPATA20	0.635840311	0.923539354	1.257785283	1.568763094	1.800848598	1.956829023	2.232786547	2.336144628	2.693673072	0.619206441	1.166011122	1.393430352	1.515027992	1.820920428	2.100941945	1.848870163	1.968856887
